Simplex,Response Variable,Control Type,Estimate,Standard Error,DF,t-statistic,p-value (two-tail),Significance (two-tail)
Node,Conscientiousness,None,0.0662,0.0509,382,1.3,0.194,0
Node,Neuroticism,None,-0.074,0.0508,382,-1.46,0.146,0
Node,Agreeableness,None,0.151,0.0504,382,2.99,0.00295,**
Node,Openness,None,0.0754,0.0508,382,1.48,0.139,0
Node,Extraversion,None,0.0164,0.051,382,0.323,0.747,0
Node,Externalizing,None,-0.118,0.0506,382,-2.33,0.0201,*
Node,Internalizing,None,-0.0848,0.0508,382,-1.67,0.0958,0
Node,Fluid Intelligence (PMAT24),None,0.156,0.0503,382,3.1,0.00211,**
Edge,Conscientiousness,None,0.124,0.0506,382,2.45,0.0147,*
Edge,Neuroticism,None,-0.112,0.0507,382,-2.21,0.0274,*
Edge,Agreeableness,None,0.0327,0.051,382,0.643,0.521,0
Edge,Openness,None,-0.0461,0.0509,382,-0.905,0.366,0
Edge,Extraversion,None,-0.00725,0.051,382,-0.142,0.887,0
Edge,Externalizing,None,-0.157,0.0503,382,-3.12,0.00194,**
Edge,Internalizing,None,-0.121,0.0506,382,-2.39,0.0173,*
Edge,Fluid Intelligence (PMAT24),None,0.106,0.0507,382,2.09,0.0375,*
Triangle,Conscientiousness,None,0.0632,0.051,381,1.24,0.216,0
Triangle,Neuroticism,None,-0.0887,0.0508,381,-1.75,0.0818,0
Triangle,Agreeableness,None,0.0156,0.0509,381,0.306,0.76,0
Triangle,Openness,None,0.0251,0.0511,381,0.491,0.623,0
Triangle,Extraversion,None,-0.058,0.051,381,-1.14,0.256,0
Triangle,Externalizing,None,-0.136,0.0506,381,-2.69,0.0074,**
Triangle,Internalizing,None,-0.116,0.0506,381,-2.3,0.0218,*
Triangle,Fluid Intelligence (PMAT24),None,0.0989,0.0506,381,1.95,0.0514,0
